STATE,COUNTY,Tract #,Tract Name,Tract Land Area,Tract Water Area,Latitude,Longitude,Population,Median 2010 HH Income,Median # Rooms,Median Value (owner occupied),Median Value per Room,Population Density
Georgia,Fulton County,5000,"Census Tract 50, Fulton County, Georgia",1360059,0,33.7420805,-84.3650954,2147,47378,4.6,268300,58326.08696,158
Georgia,Fulton County,5200,"Census Tract 52, Fulton County, Georgia",2267309,0,33.7355107,-84.3544773,4033,67188,5.3,237300,44773.58491,178
Georgia,Fulton County,5300,"Census Tract 53, Fulton County, Georgia",2215253,0,33.7321402,-84.3708876,3232,81981,5.7,271100,47561.40351,146
Georgia,Fulton County,5501,"Census Tract 55.01, Fulton County, Georgia",1192734,0,33.729867,-84.3837371,2594,32273,5.4,201900,37388.88889,217
Georgia,Fulton County,5502,"Census Tract 55.02, Fulton County, Georgia",1702173,0,33.7162175,-84.3867651,2128,18750,4.2,147600,35142.85714,125
Georgia,Fulton County,5700,"Census Tract 57, Fulton County, Georgia",832270,0,33.7319561,-84.403266,1010,14554,4.7,67100,14276.59574,121
Georgia,Fulton County,5800,"Census Tract 58, Fulton County, Georgia",1256441,0,33.731861,-84.4105985,1289,20339,5.1,161100,31588.23529,103
Georgia,Fulton County,600,"Census Tract 6, Fulton County, Georgia",1448254,11601,33.7853862,-84.4056539,4325,47125,3.7,319000,86216.21622,299
Georgia,Fulton County,6000,"Census Tract 60, Fulton County, Georgia",1560671,0,33.7379611,-84.4390857,3002,20972,5.3,116500,21981.13208,192
Georgia,Fulton County,6100,"Census Tract 61, Fulton County, Georgia",2246955,0,33.7277552,-84.4370324,3620,31250,5.6,127500,22767.85714,161
Georgia,Fulton County,6200,"Census Tract 62, Fulton County, Georgia",1040290,0,33.728483,-84.4217305,1109,28239,5.3,112500,21226.41509,107
Georgia,Fulton County,6300,"Census Tract 63, Fulton County, Georgia",1325768,0,33.7237613,-84.3997049,1134,17266,4.3,107100,24906.97674,86
Georgia,Fulton County,6400,"Census Tract 64, Fulton County, Georgia",1256273,0,33.7188153,-84.373579,1387,24375,4.4,216100,49113.63636,110
Georgia,Fulton County,6500,"Census Tract 65, Fulton County, Georgia",3280252,0,33.7141012,-84.4101267,4340,43346,5.7,121200,21263.15789,132
Georgia,Fulton County,6601,"Census Tract 66.01, Fulton County, Georgia",1954146,0,33.7115423,-84.4224014,1540,32245,5.5,129000,23454.54545,79
Georgia,Fulton County,6602,"Census Tract 66.02, Fulton County, Georgia",634879,0,33.7186105,-84.4286624,827,13269,4.3,96300,22395.34884,130
Georgia,Fulton County,6700,"Census Tract 67, Fulton County, Georgia",3381414,30463,33.7021727,-84.3954527,3494,25824,4.7,124400,26468.08511,103
Georgia,Fulton County,6801,"Census Tract 68.01, Fulton County, Georgia",660642,0,33.7102925,-84.3677886,1612,,,,#DIV/0!,244
Georgia,Fulton County,6802,"Census Tract 68.02, Fulton County, Georgia",725848,0,33.7042855,-84.3609663,1620,9449,5.1,87300,17117.64706,223
Georgia,Fulton County,6900,"Census Tract 69, Fulton County, Georgia",3150602,0,33.7183136,-84.3587704,3648,46384,4.7,213900,45510.6383,116
Georgia,Fulton County,700,"Census Tract 7, Fulton County, Georgia",1746027,0,33.7799333,-84.4233152,4603,37232,5.6,188600,33678.57143,264
Georgia,Fulton County,7001,"Census Tract 70.01, Fulton County, Georgia",4561615,1209,33.6915165,-84.3868055,3558,34123,5,112500,22500,78
Georgia,Fulton County,7002,"Census Tract 70.02, Fulton County, Georgia",4372158,8844,33.6920888,-84.36821,2452,25609,4.7,114500,24361.70213,56
