STATE,COUNTY,Tract #,Tract Name,Tract Land Area,Tract Water Area,Latitude,Longitude,Population,Median 2010 HH Income,Median # Rooms,Median Value (owner occupied),Median Value per Room,Population Density,
New Jersey,Essex County,7400,"Census Tract 74, Essex County, New Jersey",3699287,665362,40.7177554,-74.1343785,6627,46125,4.1,342900,83634.14634,179.1426294,
New Jersey,Essex County,7501,"Census Tract 75.01, Essex County, New Jersey",1962505,350311,40.7361741,-74.1332932,3769,27292,4,350000,87500,192.0504661,
New Jersey,Essex County,7502,"Census Tract 75.02, Essex County, New Jersey",1699336,82745,40.7306603,-74.1290764,3918,29328,4.4,252300,57340.90909,230.5606425,
New Jersey,Essex County,7600,"Census Tract 76, Essex County, New Jersey",194441,0,40.7300384,-74.1553919,2988,41447,3.9,356300,91358.97436,1536.712936,
New Jersey,Essex County,7700,"Census Tract 77, Essex County, New Jersey",198794,0,40.7282828,-74.1598158,2370,40261,3.9,470500,120641.0256,1192.188899,
New Jersey,Essex County,7800,"Census Tract 78, Essex County, New Jersey",197685,0,40.7272877,-74.1670687,3011,48717,4.2,354400,84380.95238,1523.130232,
New Jersey,Essex County,7900,"Census Tract 79, Essex County, New Jersey",468627,28650,40.731925,-74.1623559,4036,46134,4,413200,103300,861.2393225,
New Jersey,Essex County,800,"Census Tract 8, Essex County, New Jersey",382013,0,40.7611258,-74.1853896,4328,42100,4.7,268400,57106.38298,1132.945737,
New Jersey,Essex County,8000,"Census Tract 80, Essex County, New Jersey",849425,18325,40.7331956,-74.1685287,1588,65382,3.4,280400,82470.58824,186.9499956,
New Jersey,Essex County,8100,"Census Tract 81, Essex County, New Jersey",804919,0,40.7341239,-74.1767896,3264,20655,3,333300,111100,405.506641,
New Jersey,Essex County,8200,"Census Tract 82, Essex County, New Jersey",428711,0,40.7405666,-74.1885923,2220,18339,3.9,279100,71564.10256,517.8313596,
New Jersey,Essex County,8700,"Census Tract 87, Essex County, New Jersey",511842,17246,40.7556026,-74.1695751,4142,39648,4.3,239800,55767.44186,809.2340996,
New Jersey,Essex County,8800,"Census Tract 88, Essex County, New Jersey",156896,0,40.7528393,-74.173053,1630,38542,4.2,275000,65476.19048,1038.904752,
New Jersey,Essex County,8900,"Census Tract 89, Essex County, New Jersey",137212,0,40.7551991,-74.1755375,2342,46031,4.4,298800,67909.09091,1706.847798,
New Jersey,Essex County,900,"Census Tract 9, Essex County, New Jersey",337961,0,40.7541417,-74.1878573,3939,21689,4.5,228600,50800,1165.519098,
New Jersey,Essex County,9000,"Census Tract 90, Essex County, New Jersey",398589,58956,40.7551869,-74.1807884,2143,42895,3.7,333700,90189.18919,537.6465482,
New Jersey,Essex County,9100,"Census Tract 91, Essex County, New Jersey",442729,39927,40.761005,-74.17987,3174,39750,4.6,316400,68782.6087,716.9171209,
New Jersey,Essex County,9200,"Census Tract 92, Essex County, New Jersey",370972,34248,40.7594231,-74.16742,3303,32365,4.4,247700,56295.45455,890.3636932,
New Jersey,Essex County,9300,"Census Tract 93, Essex County, New Jersey",550923,0,40.7658747,-74.1658711,4676,32022,4.2,279100,66452.38095,848.7574489,
New Jersey,Essex County,9400,"Census Tract 94, Essex County, New Jersey",619687,0,40.7664888,-74.1730163,5362,43476,3.9,400000,102564.1026,865.2755343,
New Jersey,Essex County,9500,"Census Tract 95, Essex County, New Jersey",608705,0,40.7740854,-74.1675138,6282,38525,4.1,371300,90560.97561,1032.027008,
New Jersey,Essex County,9600,"Census Tract 96, Essex County, New Jersey",1091616,139277,40.7728434,-74.1584934,3862,31400,4.6,358000,77826.08696,353.7874124,
New Jersey,Essex County,9700,"Census Tract 97, Essex County, New Jersey",410689,1472,40.7772693,-74.1600205,4870,42580,3.9,329000,84358.97436,1185.812135,
New Jersey,Essex County,980100,"Census Tract 9801, Essex County, New Jersey",1428921,2226,40.713903,-74.1664153,1949,,,,#DIV/0!,136.3966237,
New Jersey,Essex County,980200,"Census Tract 9802, Essex County, New Jersey",16290987,3458022,40.6980043,-74.1564778,879,,,,#DIV/0!,5.395621518,
New Jersey,Essex County,9900,"Census Tract 99, Essex County, New Jersey",448689,0,40.7822305,-74.2183544,1939,26020,4.5,252100,56022.22222,432.1478797,
